"","x"
"1",23.634501
"2",55.378051
"3",55.378051
"4",51.165691
"5",-25.274398
"6",31.046051
"7",51.165691
"8",23.634501
"9",36.204824
"10",41.87194
"11",40.463667
"12",46.818188
"13",40.463667
"14",52.132633
"15",35.907757
"16",35.907757
"17",35.907757
"18",36.204824
"19",51.165691
"20",60.128161
"21",36.204824
"22",55.378051
"23",60.472024
"24",46.818188
"25",51.165691
"26",52.132633
"27",50.503887
"28",41.87194
"29",50.503887
"30",47.516231
"31",38.963745
"32",60.128161
"33",60.472024
"34",56.26392
"35",56.26392
"36",47.162494
"37",47.516231
"38",56.130366
"39",23.634501
"40",55.378051
"41",56.130366
"42",49.817492
"43",40.463667
"44",61.92411
"45",52.132633
"46",46.227638
"47",-25.274398
"48",52.132633
"49",47.162494
"50",40.463667
"51",-40.900557
"52",61.92411
"53",-35.675147
"54",55.378051
"55",46.818188
"56",50.503887
"57",46.818188
"58",39.399872
"59",50.503887
"60",31.046051
"61",49.815273
"62",48.669026
"63",46.151241
"64",64.963051
"65",47.516231
"66",-25.274398
"67",-40.900557
"68",35.907757
"69",47.516231
"70",41.87194
"71",47.162494
"72",56.26392
"73",60.128161
"74",60.128161
"75",60.472024
"76",49.817492
"77",51.165691
"78",60.472024
"79",48.669026
"80",49.817492
"81",64.963051
"82",58.595272
"83",46.227638
"84",56.879635
"85",49.815273
"86",41.87194
"87",-40.900557
"88",60.128161
"89",49.815273
"90",46.151241
"91",58.595272
"92",56.879635
"93",46.818188
"94",61.92411
"95",39.399872
"96",53.41291
"97",52.132633
"98",47.162494
"99",64.963051
"100",46.151241
"101",56.130366
"102",64.963051
"103",61.92411
"104",50.503887
"105",23.634501
"106",60.472024
"107",49.815273
"108",58.595272
"109",40.463667
"110",39.074208
"111",61.92411
"112",55.378051
"113",56.879635
"114",39.399872
"115",47.516231
"116",56.26392
"117",51.919438
"118",64.963051
"119",48.669026
"120",48.669026
"121",60.128161
"122",47.162494
"123",56.879635
"124",46.151241
"125",46.151241
"126",-25.274398
"127",52.132633
"128",48.669026
"129",51.919438
"130",39.399872
"131",39.074208
"132",41.87194
"133",46.151241
"134",47.162494
"135",36.204824
"136",56.26392
"137",38.963745
"138",51.165691
"139",48.669026
"140",50.503887
"141",35.907757
"142",46.818188
"143",37.09024
"144",49.815273
"145",61.92411
"146",53.41291
"147",58.595272
"148",60.472024
"149",47.516231
"150",40.463667
"151",51.919438
"152",49.817492
"153",46.227638
"154",64.963051
"155",-40.900557
"156",-102.552784
"157",-3.435973
"158",-3.435973
"159",10.451526
"160",133.775136
"161",34.851612
"162",10.451526
"163",-102.552784
"164",138.252924
"165",12.56738
"166",-3.74922
"167",8.227512
"168",-3.74922
"169",5.291266
"170",127.766922
"171",127.766922
"172",127.766922
"173",138.252924
"174",10.451526
"175",18.643501
"176",138.252924
"177",-3.435973
"178",8.468946
"179",8.227512
"180",10.451526
"181",5.291266
"182",4.469936
"183",12.56738
"184",4.469936
"185",14.550072
"186",35.243322
"187",18.643501
"188",8.468946
"189",9.501785
"190",9.501785
"191",19.503304
"192",14.550072
"193",-106.346771
"194",-102.552784
"195",-3.435973
"196",-106.346771
"197",15.472962
"198",-3.74922
"199",25.748151
"200",5.291266
"201",2.213749
"202",133.775136
"203",5.291266
"204",19.503304
"205",-3.74922
"206",174.885971
"207",25.748151
"208",-71.542969
"209",-3.435973
"210",8.227512
"211",4.469936
"212",8.227512
"213",-8.224454
"214",4.469936
"215",34.851612
"216",6.129583
"217",19.699024
"218",14.995463
"219",-19.020835
"220",14.550072
"221",133.775136
"222",174.885971
"223",127.766922
"224",14.550072
"225",12.56738
"226",19.503304
"227",9.501785
"228",18.643501
"229",18.643501
"230",8.468946
"231",15.472962
"232",10.451526
"233",8.468946
"234",19.699024
"235",15.472962
"236",-19.020835
"237",25.013607
"238",2.213749
"239",24.603189
"240",6.129583
"241",12.56738
"242",174.885971
"243",18.643501
"244",6.129583
"245",14.995463
"246",25.013607
"247",24.603189
"248",8.227512
"249",25.748151
"250",-8.224454
"251",-8.24389
"252",5.291266
"253",19.503304
"254",-19.020835
"255",14.995463
"256",-106.346771
"257",-19.020835
"258",25.748151
"259",4.469936
"260",-102.552784
"261",8.468946
"262",6.129583
"263",25.013607
"264",-3.74922
"265",21.824312
"266",25.748151
"267",-3.435973
"268",24.603189
"269",-8.224454
"270",14.550072
"271",9.501785
"272",19.145136
"273",-19.020835
"274",19.699024
"275",19.699024
"276",18.643501
"277",19.503304
"278",24.603189
"279",14.995463
"280",14.995463
"281",133.775136
"282",5.291266
"283",19.699024
"284",19.145136
"285",-8.224454
"286",21.824312
"287",12.56738
"288",14.995463
"289",19.503304
"290",138.252924
"291",9.501785
"292",35.243322
"293",10.451526
"294",19.699024
"295",4.469936
"296",127.766922
"297",8.227512
"298",-95.712891
"299",6.129583
"300",25.748151
"301",-8.24389
"302",25.013607
"303",8.468946
"304",14.550072
"305",-3.74922
"306",19.145136
"307",15.472962
"308",2.213749
"309",-19.020835
"310",174.885971
